x(1,4) = 27 
x(2,5) = 17 
x(3,4) = 18 
x(4,2) = 27 
x(5,4) = 27 
x(6,1) = 27 
x(7,4) = 27 
x(8,5) = 27 
x(9,4) = 27 
x(10,3) = 27 
x(11,5) = 27 
x(12,4) = 27 
x(13,5) = 19 
x(14,3) = 27 
x(15,5) = 27 
x(16,3) = 27 
x(17,1) = 27 
x(18,1) = 27 
x(19,4) = 27 
x(20,5) = 27 
x(21,1) = 27 
x(22,4) = 27 
x(23,1) = 27 
x(24,4) = 27 
x(25,3) = 27 
x(26,5) = 27 
x(27,2) = 27 
x(28,3) = 21 
x(29,1) = 27 
x(30,3) = 27 
x(31,4) = 27 
x(32,3) = 27 
x(33,3) = 27 
x(34,2) = 27 
x(35,3) = 27 
x(36,2) = 27 
x(37,3) = 27 
x(38,5) = 27 
x(39,5) = 27 
x(40,5) = 27 
x(41,1) = 27 
x(42,3) = 23 
x(43,5) = 27 
x(44,5) = 27 
x(45,5) = 27 
x(46,2) = 27 
x(47,1) = 27 
x(48,4) = 27 
x(49,1) = 27 
x(50,2) = 27 
x(51,1) = 27 
x(52,4) = 27 
x(53,4) = 27 
x(54,1) = 18 
x(55,3) = 27 
x(56,4) = 27 
x(57,4) = 27 
x(58,4) = 27 
x(59,3) = 27 
x(60,2) = 27 
x(61,4) = 27 
x(62,3) = 27 
x(63,4) = 27 
x(64,5) = 16 
x(65,2) = 27 
x(66,5) = 27 
x(67,3) = 27 
x(68,1) = 27 
x(69,2) = 27 
x(70,3) = 27 
x(71,3) = 27 
x(72,2) = 27 
x(73,1) = 27 
x(74,5) = 27 
x(75,3) = 23 
x(76,2) = 27 
x(77,5) = 27 
x(78,3) = 27 
x(79,1) = 27 
x(80,4) = 27 
x(81,1) = 27 
x(82,4) = 27 
x(83,4) = 27 
x(84,2) = 27 
x(85,3) = 27 
x(86,5) = 27 
x(87,4) = 27 
x(88,2) = 27 
x(89,5) = 24 
x(90,3) = 27 
x(91,5) = 27 
x(92,3) = 27 
x(93,2) = 27 
x(94,2) = 27 
x(95,4) = 19 
x(96,1) = 27 
x(97,5) = 27 
x(98,2) = 27 
x(99,1) = 11 
x(100,3) = 27 
