x(1,4) = 8 
x(2,18) = 9 
x(3,14) = 1 
x(4,5) = 0 
x(5,15) = 9 
x(6,4) = 0 
x(7,10) = 1 
x(8,8) = 9 
x(9,8) = 9 
x(10,1) = 6 
x(11,13) = 5 
x(12,5) = 7 
x(13,15) = 0 
x(14,7) = 2 
x(15,2) = 9 
x(16,9) = 8 
x(17,15) = 1 
x(18,16) = 8 
x(19,16) = 5 
x(20,7) = 2 
x(21,15) = 1 
x(22,8) = 5 
x(23,1) = 4 
x(24,4) = 9 
x(25,8) = 5 
x(26,12) = 7 
x(27,19) = 7 
x(28,19) = 4 
x(29,5) = 7 
x(30,1) = 1 
x(31,17) = 0 
x(32,15) = 0 
x(33,4) = 1 
x(34,18) = 9 
x(35,17) = 6 
x(36,20) = 0 
x(37,12) = 0 
x(38,11) = 5 
x(39,10) = 9 
x(40,18) = 2 
x(41,12) = 9 
x(42,16) = 5 
x(43,9) = 2 
x(44,4) = 2 
x(45,2) = 2 
x(46,15) = 3 
x(47,6) = 2 
x(48,14) = 2 
x(49,9) = 8 
x(50,1) = 3 
x(51,2) = 0 
x(52,12) = 1 
x(53,17) = 9 
x(54,3) = 7 
x(55,14) = 9 
x(56,10) = 7 
x(57,12) = 6 
x(58,12) = 6 
x(59,18) = 7 
x(60,13) = 1 
x(61,6) = 0 
x(62,17) = 1 
x(63,20) = 1 
x(64,16) = 1 
x(65,3) = 9 
x(66,8) = 6 
x(67,9) = 1 
x(68,11) = 1 
x(69,3) = 4 
x(70,5) = 5 
x(71,16) = 5 
x(72,10) = 1 
x(73,11) = 1 
x(74,10) = 0 
x(75,19) = 1 
x(76,14) = 6 
x(77,16) = 9 
x(78,14) = 2 
x(79,14) = 8 
x(80,9) = 6 
x(81,13) = 1 
x(82,19) = 5 
x(83,20) = 8 
x(84,5) = 9 
x(85,19) = 0 
x(86,14) = 6 
x(87,20) = 9 
x(88,7) = 8 
x(89,7) = 2 
x(90,8) = 9 
x(91,6) = 7 
x(92,16) = 0 
x(93,1) = 4 
x(94,19) = 6 
x(95,5) = 7 
x(96,5) = 1 
x(97,16) = 1 
x(98,13) = 3 
x(99,16) = 0 
x(100,6) = 6 
