x(1,3) = 9 
x(2,5) = 9 
x(3,3) = 9 
x(4,5) = 9 
x(5,2) = 9 
x(6,3) = 9 
x(7,1) = 9 
x(8,5) = 9 
x(9,1) = 9 
x(10,4) = 9 
x(11,4) = 9 
x(12,2) = 9 
x(13,1) = 5 
x(14,1) = 9 
x(15,5) = 9 
x(16,1) = 9 
x(17,5) = 9 
x(18,4) = 9 
x(19,1) = 9 
x(20,3) = 9 
x(21,1) = 9 
x(22,1) = 9 
x(23,2) = 9 
x(24,4) = 9 
x(25,2) = 4 
x(26,2) = 7 
x(27,5) = 9 
x(28,4) = 9 
x(29,4) = 9 
x(30,5) = 9 
x(31,2) = 9 
x(32,4) = 9 
x(33,1) = 9 
x(34,5) = 9 
x(35,3) = 9 
x(36,1) = 7 
x(37,1) = 9 
x(38,1) = 9 
x(39,3) = 9 
x(40,2) = 9 
x(41,2) = 9 
x(42,5) = 3 
x(43,3) = 9 
x(44,5) = 9 
x(45,4) = 9 
x(46,1) = 9 
x(47,2) = 9 
x(48,3) = 9 
x(49,1) = 9 
x(50,4) = 9 
x(51,2) = 9 
x(52,5) = 9 
x(53,2) = 9 
x(54,3) = 9 
x(55,4) = 9 
x(56,5) = 9 
x(57,1) = 9 
x(58,2) = 9 
x(59,4) = 4 
x(60,5) = 9 
x(61,3) = 9 
x(62,4) = 6 
x(63,1) = 9 
x(64,4) = 9 
x(65,4) = 9 
x(66,2) = 9 
x(67,1) = 9 
x(68,3) = 9 
x(69,3) = 9 
x(70,3) = 9 
x(71,5) = 9 
x(72,5) = 9 
x(73,5) = 2 
x(74,4) = 9 
x(75,3) = 2 
x(76,5) = 9 
x(77,5) = 9 
x(78,2) = 9 
x(79,2) = 9 
x(80,1) = 9 
x(81,4) = 9 
x(82,2) = 9 
x(83,1) = 9 
x(84,1) = 9 
x(85,4) = 9 
x(86,2) = 9 
x(87,4) = 9 
x(88,5) = 9 
x(89,1) = 9 
x(90,3) = 9 
x(91,2) = 9 
x(92,5) = 9 
x(93,4) = 9 
x(94,2) = 9 
x(95,5) = 9 
x(96,5) = 9 
x(97,5) = 9 
x(98,1) = 9 
x(99,2) = 9 
x(100,5) = 9 
x(101,4) = 9 
x(102,3) = 9 
x(103,1) = 9 
x(104,4) = 9 
x(105,1) = 9 
x(106,2) = 9 
x(107,1) = 9 
x(108,1) = 9 
x(109,1) = 9 
x(110,4) = 9 
x(111,1) = 9 
x(112,5) = 9 
x(113,2) = 9 
x(114,1) = 9 
x(115,1) = 9 
x(116,5) = 9 
x(117,3) = 9 
x(118,1) = 9 
x(119,3) = 9 
x(120,5) = 9 
x(121,3) = 9 
x(122,2) = 9 
x(123,5) = 9 
x(124,2) = 9 
x(125,4) = 9 
x(126,5) = 9 
x(127,2) = 9 
x(128,1) = 9 
x(129,1) = 9 
x(130,1) = 9 
x(131,2) = 9 
x(132,1) = 9 
x(133,4) = 9 
x(134,5) = 9 
x(135,3) = 9 
x(136,2) = 9 
x(137,4) = 9 
x(138,2) = 9 
x(139,2) = 9 
x(140,1) = 9 
x(141,3) = 9 
x(142,1) = 9 
x(143,3) = 9 
x(144,4) = 9 
x(145,1) = 9 
x(146,3) = 9 
x(147,5) = 9 
x(148,4) = 9 
x(149,1) = 9 
x(150,4) = 9 
x(151,3) = 9 
x(152,5) = 9 
x(153,3) = 9 
x(154,4) = 9 
x(155,4) = 9 
x(156,1) = 9 
x(157,2) = 9 
x(158,2) = 9 
x(159,3) = 9 
x(160,3) = 9 
x(161,3) = 9 
x(162,1) = 9 
x(163,4) = 9 
x(164,1) = 9 
x(165,5) = 9 
x(166,2) = 9 
x(167,5) = 9 
x(168,4) = 9 
x(169,2) = 9 
x(170,3) = 9 
x(171,3) = 9 
x(172,5) = 9 
x(173,4) = 9 
x(174,2) = 5 
x(175,2) = 9 
x(176,3) = 9 
x(177,5) = 9 
x(178,4) = 3 
x(179,4) = 9 
x(180,4) = 9 
x(181,5) = 9 
x(182,4) = 9 
x(183,3) = 9 
x(184,2) = 9 
x(185,1) = 9 
x(186,5) = 9 
x(187,4) = 9 
x(188,2) = 9 
x(189,3) = 9 
x(190,3) = 9 
x(191,3) = 9 
x(192,1) = 9 
x(193,4) = 9 
x(194,3) = 9 
x(195,4) = 9 
x(196,4) = 9 
x(197,2) = 9 
x(198,5) = 9 
x(199,5) = 9 
x(200,5) = 9 
