x(1,22) = 5 
x(2,9) = 1 
x(3,27) = 4 
x(4,38) = 9 
x(5,5) = 2 
x(6,7) = 3 
x(7,12) = 7 
x(8,34) = 0 
x(9,30) = 0 
x(10,22) = 8 
x(11,24) = 4 
x(12,40) = 1 
x(13,17) = 6 
x(14,21) = 0 
x(15,10) = 6 
x(16,9) = 8 
x(17,22) = 2 
x(18,36) = 9 
x(19,9) = 1 
x(20,15) = 8 
x(21,3) = 8 
x(22,2) = 0 
x(23,18) = 5 
x(24,9) = 7 
x(25,9) = 9 
x(26,28) = 8 
x(27,30) = 8 
x(28,3) = 4 
x(29,17) = 1 
x(30,4) = 1 
x(31,11) = 5 
x(32,16) = 8 
x(33,3) = 0 
x(34,17) = 5 
x(35,9) = 1 
x(36,29) = 6 
x(37,12) = 0 
x(38,35) = 1 
x(39,6) = 1 
x(40,37) = 9 
x(41,3) = 6 
x(42,34) = 1 
x(43,24) = 5 
x(44,14) = 6 
x(45,2) = 0 
x(46,8) = 4 
x(47,26) = 2 
x(48,28) = 6 
x(49,16) = 7 
x(50,21) = 3 
x(51,37) = 0 
x(52,19) = 7 
x(53,11) = 9 
x(54,8) = 6 
x(55,15) = 3 
x(56,20) = 9 
x(57,20) = 8 
x(58,14) = 0 
x(59,11) = 0 
x(60,26) = 0 
x(61,40) = 6 
x(62,23) = 1 
x(63,3) = 9 
x(64,7) = 9 
x(65,31) = 2 
x(66,10) = 4 
x(67,4) = 1 
x(68,38) = 9 
x(69,33) = 8 
x(70,13) = 8 
x(71,18) = 8 
x(72,30) = 7 
x(73,11) = 3 
x(74,24) = 8 
x(75,26) = 6 
x(76,31) = 6 
x(77,26) = 6 
x(78,32) = 9 
x(79,6) = 4 
x(80,15) = 1 
x(81,4) = 2 
x(82,21) = 4 
x(83,13) = 5 
x(84,38) = 6 
x(85,19) = 2 
x(86,22) = 9 
x(87,32) = 8 
x(88,36) = 8 
x(89,31) = 5 
x(90,29) = 9 
x(91,28) = 0 
x(92,32) = 5 
x(93,3) = 1 
x(94,13) = 2 
x(95,26) = 4 
x(96,21) = 7 
x(97,6) = 7 
x(98,10) = 2 
x(99,18) = 7 
x(100,23) = 4 
x(101,28) = 8 
x(102,25) = 0 
x(103,32) = 6 
x(104,16) = 9 
x(105,12) = 6 
x(106,15) = 8 
x(107,1) = 9 
x(108,40) = 9 
x(109,18) = 6 
x(110,35) = 7 
x(111,10) = 6 
x(112,37) = 5 
x(113,24) = 9 
x(114,20) = 6 
x(115,19) = 6 
x(116,34) = 5 
x(117,16) = 2 
x(118,28) = 8 
x(119,1) = 5 
x(120,14) = 5 
x(121,39) = 5 
x(122,18) = 9 
x(123,8) = 6 
x(124,29) = 7 
x(125,1) = 6 
x(126,23) = 7 
x(127,7) = 9 
x(128,29) = 4 
x(129,20) = 2 
x(130,35) = 2 
x(131,21) = 3 
x(132,27) = 1 
x(133,31) = 8 
x(134,31) = 0 
x(135,24) = 5 
x(136,26) = 9 
x(137,19) = 1 
x(138,25) = 6 
x(139,39) = 1 
x(140,2) = 8 
x(141,13) = 1 
x(142,27) = 6 
x(143,17) = 8 
x(144,21) = 1 
x(145,12) = 5 
x(146,15) = 8 
x(147,26) = 5 
x(148,11) = 6 
x(149,24) = 8 
x(150,3) = 5 
x(151,5) = 8 
x(152,7) = 1 
x(153,2) = 4 
x(154,36) = 0 
x(155,38) = 0 
x(156,23) = 9 
x(157,22) = 8 
x(158,5) = 1 
x(159,4) = 8 
x(160,17) = 6 
x(161,26) = 8 
x(162,12) = 0 
x(163,8) = 4 
x(164,27) = 7 
x(165,34) = 9 
x(166,9) = 2 
x(167,17) = 7 
x(168,13) = 7 
x(169,34) = 2 
x(170,3) = 7 
x(171,33) = 0 
x(172,37) = 6 
x(173,36) = 0 
x(174,15) = 0 
x(175,20) = 0 
x(176,28) = 3 
x(177,30) = 5 
x(178,39) = 1 
x(179,19) = 9 
x(180,7) = 8 
x(181,33) = 6 
x(182,19) = 9 
x(183,2) = 7 
x(184,23) = 6 
x(185,7) = 6 
x(186,24) = 8 
x(187,23) = 9 
x(188,1) = 1 
x(189,6) = 2 
x(190,17) = 9 
x(191,24) = 7 
x(192,35) = 2 
x(193,38) = 3 
x(194,16) = 3 
x(195,10) = 6 
x(196,22) = 5 
x(197,27) = 8 
x(198,37) = 7 
x(199,5) = 1 
x(200,26) = 8 
x(201,37) = 7 
x(202,20) = 5 
x(203,7) = 4 
x(204,33) = 8 
x(205,17) = 7 
x(206,27) = 8 
x(207,14) = 8 
x(208,25) = 4 
x(209,17) = 3 
x(210,31) = 5 
x(211,37) = 4 
x(212,18) = 6 
x(213,18) = 3 
x(214,17) = 7 
x(215,22) = 1 
x(216,15) = 8 
x(217,31) = 7 
x(218,40) = 9 
x(219,18) = 1 
x(220,40) = 1 
x(221,16) = 0 
x(222,30) = 4 
x(223,21) = 2 
x(224,17) = 0 
x(225,2) = 4 
x(226,7) = 6 
x(227,30) = 1 
x(228,19) = 6 
x(229,34) = 6 
x(230,15) = 1 
x(231,27) = 7 
x(232,18) = 8 
x(233,21) = 6 
x(234,10) = 7 
x(235,33) = 3 
x(236,13) = 1 
x(237,16) = 4 
x(238,20) = 6 
x(239,25) = 9 
x(240,37) = 1 
x(241,7) = 7 
x(242,6) = 7 
x(243,20) = 7 
x(244,15) = 6 
x(245,40) = 1 
x(246,8) = 0 
x(247,31) = 9 
x(248,15) = 4 
x(249,26) = 9 
x(250,6) = 0 
