x(1,4) = 7 
x(2,3) = 9 
x(3,2) = 9 
x(4,13) = 9 
x(5,5) = 4 
x(6,8) = 6 
x(7,5) = 3 
x(8,14) = 3 
x(9,18) = 9 
x(10,5) = 9 
x(11,7) = 4 
x(12,2) = 0 
x(13,9) = 9 
x(14,18) = 8 
x(15,19) = 9 
x(16,8) = 6 
x(17,16) = 9 
x(18,11) = 9 
x(19,6) = 8 
x(20,3) = 9 
x(21,11) = 4 
x(22,3) = 9 
x(23,1) = 2 
x(24,10) = 9 
x(25,4) = 6 
x(26,13) = 7 
x(27,15) = 9 
x(28,15) = 7 
x(29,15) = 8 
x(30,1) = 9 
x(31,11) = 6 
x(32,19) = 7 
x(33,9) = 9 
x(34,16) = 8 
x(35,17) = 7 
x(36,17) = 5 
x(37,7) = 9 
x(38,17) = 9 
x(39,7) = 9 
x(40,16) = 7 
x(41,17) = 2 
x(42,13) = 9 
x(43,19) = 9 
x(44,6) = 3 
x(45,5) = 9 
x(46,18) = 1 
x(47,19) = 9 
x(48,17) = 4 
x(49,19) = 8 
x(50,15) = 4 
x(51,20) = 9 
x(52,3) = 9 
x(53,11) = 6 
x(54,10) = 8 
x(55,1) = 5 
x(56,7) = 9 
x(57,1) = 7 
x(58,14) = 7 
x(59,18) = 9 
x(60,10) = 2 
x(61,4) = 8 
x(62,18) = 9 
x(63,14) = 5 
x(64,10) = 8 
x(65,16) = 9 
x(66,14) = 6 
x(67,12) = 8 
x(68,16) = 9 
x(69,19) = 9 
x(70,1) = 2 
x(71,17) = 9 
x(72,16) = 6 
x(73,5) = 9 
x(74,12) = 9 
x(75,12) = 3 
x(76,12) = 8 
x(77,7) = 9 
x(78,13) = 5 
x(79,20) = 9 
x(80,9) = 5 
x(81,12) = 9 
x(82,5) = 4 
x(83,15) = 9 
x(84,16) = 2 
x(85,1) = 8 
x(86,6) = 2 
x(87,1) = 9 
x(88,18) = 6 
x(89,20) = 6 
x(90,13) = 5 
x(91,18) = 9 
x(92,15) = 5 
x(93,8) = 3 
x(94,15) = 6 
x(95,9) = 8 
x(96,20) = 1 
x(97,7) = 9 
x(98,12) = 9 
x(99,11) = 9 
x(100,3) = 4 
x(101,13) = 9 
x(102,15) = 3 
x(103,4) = 9 
x(104,3) = 7 
x(105,9) = 9 
x(106,14) = 9 
x(107,4) = 6 
x(108,10) = 9 
x(109,4) = 9 
x(110,4) = 4 
x(111,3) = 9 
x(112,8) = 9 
x(113,20) = 9 
x(114,2) = 5 
x(115,5) = 9 
x(116,4) = 3 
x(117,18) = 1 
x(118,14) = 8 
x(119,12) = 2 
x(120,13) = 9 
x(121,17) = 8 
x(122,2) = 9 
x(123,7) = 7 
x(124,9) = 9 
x(125,2) = 8 
x(126,19) = 4 
x(127,12) = 3 
x(128,4) = 1 
x(129,3) = 2 
x(130,20) = 9 
x(131,7) = 5 
x(132,14) = 9 
x(133,11) = 7 
x(134,1) = 9 
x(135,17) = 8 
x(136,6) = 9 
x(137,19) = 6 
x(138,20) = 0 
x(139,19) = 5 
x(140,17) = 9 
x(141,3) = 9 
x(142,15) = 8 
x(143,11) = 5 
x(144,15) = 2 
x(145,2) = 3 
x(146,6) = 2 
x(147,1) = 8 
x(148,17) = 9 
x(149,6) = 7 
x(150,2) = 8 
x(151,13) = 8 
x(152,7) = 9 
x(153,18) = 7 
x(154,20) = 9 
x(155,2) = 8 
x(156,16) = 9 
x(157,9) = 1 
x(158,2) = 8 
x(159,10) = 9 
x(160,6) = 9 
x(161,13) = 9 
x(162,9) = 9 
x(163,11) = 9 
x(164,14) = 0 
x(165,19) = 9 
x(166,17) = 9 
x(167,8) = 9 
x(168,20) = 5 
x(169,13) = 9 
x(170,1) = 7 
x(171,13) = 7 
x(172,5) = 9 
x(173,10) = 4 
x(174,8) = 9 
x(175,20) = 9 
x(176,12) = 7 
x(177,3) = 9 
x(178,4) = 9 
x(179,10) = 6 
x(180,10) = 9 
x(181,20) = 7 
x(182,11) = 7 
x(183,10) = 3 
x(184,6) = 4 
x(185,16) = 9 
x(186,1) = 9 
x(187,8) = 9 
x(188,9) = 7 
x(189,16) = 9 
x(190,8) = 9 
x(191,18) = 6 
x(192,3) = 7 
x(193,19) = 4 
x(194,7) = 0 
x(195,4) = 9 
x(196,8) = 8 
x(197,12) = 9 
x(198,8) = 0 
x(199,9) = 0 
x(200,8) = 9 
