x(1,1) = 0 
x(2,6) = 0 
x(3,8) = 4 
x(4,3) = 3 
x(5,1) = 1 
x(6,2) = 5 
x(7,1) = 6 
x(8,6) = 2 
x(9,7) = 5 
x(10,7) = 0 
x(11,6) = 4 
x(12,8) = 4 
x(13,4) = 5 
x(14,1) = 2 
x(15,2) = 3 
x(16,5) = 9 
x(17,8) = 9 
x(18,9) = 7 
x(19,6) = 5 
x(20,3) = 6 
x(21,5) = 3 
x(22,7) = 4 
x(23,5) = 5 
x(24,1) = 5 
x(25,8) = 4 
x(26,9) = 3 
x(27,10) = 9 
x(28,6) = 7 
x(29,5) = 5 
x(30,7) = 4 
x(31,2) = 0 
x(32,5) = 9 
x(33,8) = 8 
x(34,4) = 6 
x(35,10) = 3 
x(36,3) = 7 
x(37,6) = 7 
x(38,6) = 5 
x(39,8) = 3 
x(40,2) = 7 
x(41,6) = 5 
x(42,6) = 4 
x(43,7) = 3 
x(44,7) = 5 
x(45,8) = 7 
x(46,1) = 8 
x(47,9) = 1 
x(48,4) = 4 
x(49,4) = 7 
x(50,3) = 5 
x(51,3) = 5 
x(52,7) = 5 
x(53,2) = 1 
x(54,7) = 7 
x(55,7) = 8 
x(56,7) = 9 
x(57,6) = 7 
x(58,4) = 6 
x(59,9) = 2 
x(60,9) = 6 
x(61,9) = 1 
x(62,2) = 0 
x(63,5) = 3 
x(64,1) = 4 
x(65,10) = 1 
x(66,3) = 3 
x(67,6) = 8 
x(68,5) = 2 
x(69,9) = 1 
x(70,9) = 5 
x(71,5) = 8 
x(72,6) = 6 
x(73,7) = 4 
x(74,2) = 2 
x(75,3) = 5 
x(76,6) = 6 
x(77,3) = 8 
x(78,9) = 5 
x(79,5) = 1 
x(80,9) = 0 
x(81,3) = 5 
x(82,10) = 8 
x(83,2) = 5 
x(84,5) = 4 
x(85,1) = 8 
x(86,10) = 6 
x(87,7) = 0 
x(88,1) = 7 
x(89,7) = 4 
x(90,2) = 3 
x(91,9) = 7 
x(92,5) = 0 
x(93,6) = 7 
x(94,9) = 6 
x(95,5) = 4 
x(96,3) = 1 
x(97,7) = 5 
x(98,5) = 5 
x(99,10) = 1 
x(100,7) = 3 
x(101,4) = 1 
x(102,2) = 9 
x(103,7) = 6 
x(104,5) = 5 
x(105,2) = 4 
x(106,9) = 9 
x(107,4) = 4 
x(108,1) = 1 
x(109,7) = 9 
x(110,7) = 7 
x(111,4) = 4 
x(112,5) = 5 
x(113,10) = 0 
x(114,2) = 3 
x(115,10) = 6 
x(116,8) = 6 
x(117,4) = 5 
x(118,10) = 0 
x(119,7) = 8 
x(120,1) = 7 
x(121,10) = 3 
x(122,10) = 3 
x(123,3) = 1 
x(124,4) = 3 
x(125,6) = 6 
x(126,4) = 7 
x(127,10) = 1 
x(128,1) = 5 
x(129,6) = 8 
x(130,7) = 7 
x(131,2) = 0 
x(132,9) = 8 
x(133,9) = 1 
x(134,9) = 5 
x(135,6) = 0 
x(136,6) = 2 
x(137,8) = 8 
x(138,7) = 5 
x(139,1) = 5 
x(140,6) = 1 
x(141,4) = 8 
x(142,7) = 3 
x(143,6) = 5 
x(144,1) = 7 
x(145,4) = 9 
x(146,3) = 5 
x(147,10) = 7 
x(148,4) = 0 
x(149,5) = 4 
x(150,7) = 9 
x(151,1) = 4 
x(152,1) = 7 
x(153,3) = 4 
x(154,2) = 7 
x(155,1) = 3 
x(156,6) = 2 
x(157,4) = 6 
x(158,7) = 7 
x(159,5) = 7 
x(160,1) = 5 
x(161,8) = 6 
x(162,9) = 3 
x(163,3) = 7 
x(164,5) = 8 
x(165,10) = 3 
x(166,7) = 1 
x(167,10) = 3 
x(168,3) = 3 
x(169,3) = 3 
x(170,6) = 5 
x(171,6) = 4 
x(172,7) = 2 
x(173,9) = 1 
x(174,1) = 8 
x(175,5) = 7 
x(176,5) = 7 
x(177,3) = 7 
x(178,1) = 3 
x(179,10) = 4 
x(180,9) = 1 
x(181,4) = 0 
x(182,3) = 0 
x(183,5) = 5 
x(184,6) = 8 
x(185,1) = 7 
x(186,8) = 5 
x(187,8) = 5 
x(188,7) = 7 
x(189,5) = 9 
x(190,10) = 6 
x(191,3) = 6 
x(192,8) = 4 
x(193,6) = 0 
x(194,10) = 7 
x(195,1) = 0 
x(196,8) = 4 
x(197,5) = 1 
x(198,7) = 3 
x(199,4) = 7 
x(200,6) = 2 
x(201,2) = 2 
x(202,4) = 7 
x(203,3) = 6 
x(204,6) = 8 
x(205,2) = 8 
x(206,5) = 4 
x(207,1) = 6 
x(208,9) = 1 
x(209,5) = 7 
x(210,9) = 2 
x(211,7) = 7 
x(212,3) = 4 
x(213,2) = 1 
x(214,9) = 9 
x(215,2) = 4 
x(216,7) = 3 
x(217,2) = 4 
x(218,6) = 7 
x(219,9) = 7 
x(220,10) = 8 
x(221,4) = 0 
x(222,7) = 4 
x(223,3) = 8 
x(224,5) = 2 
x(225,7) = 7 
x(226,3) = 1 
x(227,9) = 0 
x(228,1) = 8 
x(229,9) = 5 
x(230,5) = 7 
x(231,6) = 1 
x(232,1) = 6 
x(233,4) = 1 
x(234,8) = 6 
x(235,8) = 4 
x(236,3) = 0 
x(237,3) = 1 
x(238,6) = 7 
x(239,2) = 5 
x(240,9) = 6 
x(241,3) = 4 
x(242,5) = 7 
x(243,3) = 7 
x(244,5) = 4 
x(245,2) = 9 
x(246,7) = 7 
x(247,4) = 1 
x(248,8) = 8 
x(249,4) = 0 
x(250,3) = 3 
x(251,7) = 7 
x(252,1) = 5 
x(253,5) = 5 
x(254,1) = 3 
x(255,2) = 7 
x(256,6) = 7 
x(257,3) = 0 
x(258,2) = 3 
x(259,6) = 3 
x(260,9) = 4 
x(261,3) = 5 
x(262,10) = 5 
x(263,2) = 0 
x(264,9) = 5 
x(265,3) = 4 
x(266,8) = 1 
x(267,4) = 3 
x(268,7) = 7 
x(269,6) = 7 
x(270,8) = 1 
x(271,4) = 0 
x(272,3) = 2 
x(273,10) = 4 
x(274,9) = 0 
x(275,4) = 6 
x(276,9) = 1 
x(277,3) = 3 
x(278,5) = 7 
x(279,3) = 9 
x(280,5) = 3 
x(281,9) = 4 
x(282,8) = 1 
x(283,3) = 4 
x(284,10) = 5 
x(285,4) = 1 
x(286,4) = 8 
x(287,4) = 1 
x(288,8) = 4 
x(289,3) = 4 
x(290,3) = 5 
x(291,8) = 0 
x(292,3) = 4 
x(293,3) = 0 
x(294,5) = 3 
x(295,8) = 6 
x(296,2) = 7 
x(297,10) = 2 
x(298,7) = 3 
x(299,5) = 1 
x(300,7) = 3 
x(301,3) = 3 
x(302,8) = 7 
x(303,6) = 5 
x(304,2) = 7 
x(305,1) = 4 
x(306,4) = 2 
x(307,9) = 6 
x(308,2) = 8 
x(309,10) = 5 
x(310,4) = 2 
x(311,8) = 8 
x(312,6) = 3 
x(313,7) = 0 
x(314,3) = 3 
x(315,5) = 4 
x(316,5) = 8 
x(317,1) = 9 
x(318,10) = 4 
x(319,8) = 6 
x(320,4) = 4 
x(321,8) = 5 
x(322,10) = 8 
x(323,5) = 4 
x(324,8) = 7 
x(325,4) = 5 
x(326,10) = 3 
x(327,5) = 2 
x(328,1) = 0 
x(329,8) = 1 
x(330,7) = 0 
x(331,7) = 2 
x(332,6) = 7 
x(333,10) = 1 
x(334,2) = 5 
x(335,8) = 1 
x(336,1) = 0 
x(337,8) = 6 
x(338,8) = 5 
x(339,4) = 5 
x(340,8) = 6 
x(341,10) = 4 
x(342,9) = 1 
x(343,8) = 1 
x(344,2) = 6 
x(345,10) = 7 
x(346,1) = 5 
x(347,9) = 4 
x(348,2) = 8 
x(349,1) = 4 
x(350,10) = 3 
x(351,1) = 0 
x(352,7) = 3 
x(353,1) = 0 
x(354,6) = 7 
x(355,10) = 4 
x(356,2) = 3 
x(357,9) = 2 
x(358,10) = 0 
x(359,8) = 7 
x(360,9) = 0 
x(361,1) = 4 
x(362,6) = 3 
x(363,8) = 4 
x(364,4) = 0 
x(365,1) = 1 
x(366,1) = 0 
x(367,2) = 5 
x(368,9) = 5 
x(369,8) = 9 
x(370,1) = 8 
x(371,7) = 7 
x(372,2) = 1 
x(373,10) = 8 
x(374,4) = 7 
x(375,10) = 1 
x(376,9) = 7 
x(377,9) = 2 
x(378,10) = 0 
x(379,8) = 1 
x(380,2) = 6 
x(381,2) = 4 
x(382,1) = 3 
x(383,10) = 4 
x(384,10) = 0 
x(385,8) = 0 
x(386,5) = 3 
x(387,8) = 0 
x(388,6) = 3 
x(389,4) = 5 
x(390,6) = 0 
x(391,6) = 0 
x(392,6) = 3 
x(393,2) = 4 
x(394,9) = 1 
x(395,2) = 2 
x(396,2) = 7 
x(397,8) = 0 
x(398,1) = 4 
x(399,1) = 3 
x(400,10) = 3 
